x,y,pmi,count
pell,mell,4.267109122884396,5
mell,pell,4.267109122884396,5
sauf,votre,4.091017863828714,5
votre,sauf,4.091017863828714,5
margery,jourdain,4.011836617781089,5
jourdain,margery,4.011836617781089,5
med,cine,4.003867688109814,7
cine,med,4.003867688109814,7
timandra,phrynia,3.9660791272204143,5
phrynia,timandra,3.9660791272204143,5
dogberry,verges,3.920321636659739,6
verges,dogberry,3.920321636659739,6
dit,il,3.789987868164733,5
il,dit,3.789987868164733,5
dardanius,clitus,3.753004301911563,5
clitus,dardanius,3.753004301911563,5
l,envoy,3.72304107853412,14
envoy,l,3.72304107853412,14
cleomenes,dion,3.644845745468146,7
dion,cleomenes,3.644845745468146,7
deiphobus,antenor,3.6138966091090516,5
antenor,deiphobus,3.6138966091090516,5
anjou,maine,3.590415513259529,12
metellus,cimber,3.590415513259529,8
maine,anjou,3.590415513259529,12
cimber,metellus,3.590415513259529,8
haven,milford,3.5774505360951614,11
milford,haven,3.5774505360951614,11
tom,acold,3.568139118548377,5
acold,tom,3.568139118548377,5
sisters,weird,3.551105779249596,5
weird,sisters,3.551105779249596,5
glamis,cawdor,3.5469498194784386,6
cawdor,glamis,3.5469498194784386,6
madame,alice,3.5223816279877016,9
alice,madame,3.5223816279877016,9
owen,glendower,3.521142555872153,7
glendower,owen,3.521142555872153,7
pense,je,3.518921095878195,5
silius,ventidius,3.518921095878195,5
ventidius,silius,3.518921095878195,5
je,pense,3.518921095878195,5
guildenstern,rosencrantz,3.495588451399765,22
rosencrantz,guildenstern,3.495588451399765,22
dramatis,personae,3.4889578725007517,36
personae,dramatis,3.4889578725007517,36
rous,boist,3.45419576624154,10
boist,rous,3.45419576624154,10
je,ma,3.451974306247582,5
ma,je,3.451974306247582,5
vill,gar,3.4367343396908447,5
gar,vill,3.4367343396908447,5
que,il,3.430965925523065,7
il,que,3.430965925523065,7
thane,cawdor,3.4220110828701387,14
cawdor,thane,3.4220110828701387,14
rate,desp,3.4018076967818516,10
desp,rate,3.4018076967818516,10
snout,starveling,3.367653420547546,5
starveling,snout,3.367653420547546,5
tavern,eastcheap,3.364019135892452,5
eastcheap,tavern,3.364019135892452,5
quintus,martius,3.356332307226161,7
martius,quintus,3.356332307226161,7
boar,eastcheap,3.340895337045314,8
eastcheap,boar,3.340895337045314,8
que,les,3.340538040042929,6
les,que,3.340538040042929,6
reck,ning,3.3128666134450704,7
ning,reck,3.3128666134450704,7
le,beau,3.3048976837737953,22
beau,le,3.3048976837737953,22
yellow,stockings,3.2970723462618388,7
que,je,3.2970723462618388,8
stockings,yellow,3.2970723462618388,7
je,que,3.2970723462618388,8
est,il,3.2671091228843956,6
il,est,3.2671091228843956,6
ry,wat,3.2422236782544935,13
wat,ry,3.2422236782544935,13
hose,doublet,3.2398350380177336,9
doublet,hose,3.2398350380177336,9
que,vous,3.239080399284152,6
vous,que,3.239080399284152,6
pot,ale,3.235027855272955,5
ale,pot,3.235027855272955,5
sheep,shearing,3.2336853673974457,5
shearing,sheep,3.2336853673974457,5
pow,rful,3.2323470166251838,5
rful,pow,3.2323470166251838,5
rain,raineth,3.2191855705672126,5
raineth,rain,3.2191855705672126,5
marquis,dorset,3.2181065775105733,6
dorset,marquis,3.2181065775105733,6
walter,whitmore,3.215313677326403,5
whitmore,walter,3.215313677326403,5
cornwall,albany,3.1799589471654954,6
albany,cornwall,3.1799589471654954,6
doll,tearsheet,3.170199109876339,6
tearsheet,doll,3.170199109876339,6
oswald,steward,3.159282695387241,11
steward,oswald,3.159282695387241,11
lovel,ratcliff,3.1485504829138713,6
ratcliff,lovel,3.1485504829138713,6
eleanor,dame,3.135704344026864,5
dame,eleanor,3.135704344026864,5
arden,forest,3.1270552349183505,6
forest,arden,3.1270552349183505,6
deserves,chooseth,3.1230540958290227,5
chooseth,deserves,3.1230540958290227,5
aldermen,mayor,3.1209810872061574,5
mayor,aldermen,3.1209810872061574,5
cell,laurence,3.1117730854193337,10
laurence,cell,3.1117730854193337,10
tavern,boar,3.108746630789146,5
boar,tavern,3.108746630789146,5
malcolm,donalbain,3.1043818253866955,11
donalbain,malcolm,3.1043818253866955,11
mercutio,benvolio,3.098808108254966,5
benvolio,mercutio,3.098808108254966,5
batt,ry,3.098317102570214,6
ry,batt,3.098317102570214,6
les,je,3.0974999913566346,6
je,les,3.0974999913566346,6
oliver,martext,3.085265534939623,5
martext,oliver,3.085265534939623,5
threat,ning,3.084258280181418,17
ning,threat,3.084258280181418,17
horatio,marcellus,3.0721325196683402,6
marcellus,horatio,3.0721325196683402,6
je,vous,3.0629891402284706,7
vous,je,3.0629891402284706,7
inn,garter,3.046347468909253,8
garter,inn,3.046347468909253,8
regan,cornwall,3.042785754140184,7
cornwall,regan,3.042785754140184,7
buck,basket,3.0417998411585327,5
bushy,bagot,3.0417998411585327,5
basket,buck,3.0417998411585327,5
bagot,bushy,3.0417998411585327,5
thumb,bite,3.039222418270722,5
bite,thumb,3.039222418270722,5
apart,converse,3.0357150553618086,9
converse,apart,3.0357150553618086,9
murd,rous,3.0331904535008087,11
rous,murd,3.0331904535008087,11
carlisle,bishop,3.0330259168510274,7
bishop,carlisle,3.0330259168510274,7
wood,birnam,3.0294217925822022,7
birnam,wood,3.0294217925822022,7
rivers,vaughan,3.0261440828209665,6
vaughan,rivers,3.0261440828209665,6
de,coeur,3.024071074198101,6
coeur,de,3.024071074198101,6
evans,fery,3.0158765955828293,6
fery,evans,3.0158765955828293,6
starveling,quince,3.003867688109814,7
quince,starveling,3.003867688109814,7
flute,quince,2.9803865922602912,9
quince,flute,2.9803865922602912,9
lion,coeur,2.9770745115218773,6
coeur,lion,2.9770745115218773,6
humble,bee,2.9660791272204143,6
bee,humble,2.9660791272204143,6
les,et,2.960326798331323,5
et,les,2.960326798331323,5
shakespeare,william,2.958900542593291,38
william,shakespeare,2.958900542593291,38
ely,bishop,2.9430138231517207,11
bishop,ely,2.9430138231517207,11
saint,albans,2.941456652312082,19
albans,saint,2.941456652312082,19
