x,y,pmi,count
scroop,stephen,3.4748101890460235,7
lartius,titus,3.3779001760379668,7
n,stol,3.356710876968029,5
shearing,sheep,3.2598008639599723,5
bite,thumb,3.1384964120067664,6
bishop,carlisle,3.0045283588566667,7
earl,wiltshire,2.9887340916734346,7
en,ta,2.944530429181381,24
drums,trumpets,2.8795896222483663,5
bushy,green,2.870044304342136,5
lewis,xi,2.8338321316876915,21
bishop,ely,2.8126428326177533,6
alban,saint,2.792439446529466,5
dido,widow,2.7546508856400664,5
mowbray,thomas,2.69989423892386,20
grey,vaughan,2.578559626584385,5
county,paris,2.5633196600276484,7
caius,marcius,2.5230724591208227,16
gremio,signior,2.52132231834028,14
gaunt,john,2.5188193008563307,34
sound,trumpet,2.481649613576329,5
harry,hereford,2.465080512143136,6
sound,trumpets,2.4639208466158973,8
mistress,overdone,2.438197436796186,17
silver,sound,2.4358921230156536,7
fellow,tall,2.4301397941265623,6
market,place,2.4122282048178603,10
grey,rivers,2.3490240483017377,7
baptista,signior,2.3159168059389037,11
crowns,twenty,2.3074928542978475,5
friar,laurence,2.289657131424573,58
george,saint,2.2842839580698353,9
norfolk,thomas,2.2805560855505917,9
er,ne,2.2455604248453622,58
er,whate,2.2455604248453622,8
froth,master,2.2381522369975047,9
e,er,2.2145261911053935,27
ten,times,2.2033195080075245,12
cell,laurence,2.1963424021751807,5
blows,wind,2.16872039461264,5
daughter,youngest,2.117828788052892,5
shed,tears,2.115122894676967,10
servingman,third,2.1079204993926433,20
mowbray,norfolk,2.104464826494911,6
crowns,thousand,2.0966394889829543,5
hortensio,signior,2.0837096049042914,6
re,ye,2.0648242607439173,5
duchess,york,2.0564716905882543,71
answer,belly,2.03449158223411,5
archbishop,york,2.0015894123590217,6
anne,lady,1.9975323659841364,52
music,sound,1.9734941251166978,5
cut,off,1.9566471746661358,17
henry,vi,1.955885180058503,99
edward,iv,1.9544494945133488,110
friar,peter,1.950644042065295,9
aside,lay,1.9351069500981979,5
slain,tybalt,1.9344904922489112,8
ten,thousand,1.9310136636054378,10
capulet,lady,1.9128396946768513,45
citizen,third,1.9107294772908239,22
neither,nor,1.9081450827014192,22
abroad,news,1.9056924248125717,6
crown,resign,1.9056924248125717,5
iii,richard,1.903137744023156,138
ii,richard,1.903137744023156,98
about,neck,1.893274145060611,6
had,lief,1.893066696056474,5
bona,lady,1.8852561730447628,9
elizabeth,queen,1.8731122606668371,105
henry,percy,1.8657085497094152,13
cry,mercy,1.8623574756758452,7
heed,take,1.8613648021421674,7
tears,wash,1.8595507728098608,7
lucentio,signior,1.8561085263988437,5
grey,lady,1.854142500035887,29
mew,up,1.8395149790180547,5
den,god,1.8369453671118343,7
murderer,second,1.8243812358889975,30
banished,romeo,1.8236382169192165,6
liege,sovereign,1.8199420713592527,7
thousand,twenty,1.816798792388911,9
people,tribunes,1.8118679983677923,8
day,wedding,1.8072113283831859,7
margaret,queen,1.7971345677378463,93
each,other,1.7815230320403679,15
bolingbroke,henry,1.7797939210028217,92
apollo,great,1.7712501474595284,5
keeper,second,1.7668853420570783,9
times,twenty,1.7546508856400664,5
first,senator,1.7522448158741881,33
forbid,god,1.748809278411283,12
honour,pawn,1.7456960429871402,5
duke,vincentio,1.728057294574425,193
must,needs,1.7262231776462091,17
fare,well,1.7239912051634203,18
messenger,second,1.7132582004818415,7
buckingham,cousin,1.7091649139890814,7
blood,shed,1.707741329772088,8
fares,how,1.7060911737709648,14
twenty,years,1.700293223317474,6
second,servingman,1.6928437356618644,17
didst,kill,1.6820538219867471,6
doom,prince,1.6754696395924418,5
second,watchman,1.6665147969395153,6
battle,bid,1.665776828228552,5
longer,stay,1.6606458632754173,6
cousin,hereford,1.6573067951526914,5
days,happy,1.6555748108755024,6
am,sorry,1.6499155351200536,11
house,lancaster,1.6340598187841957,8
