x,y,pmi,count
stephen,scroop,3.4748101890460235,7
scroop,stephen,3.4748101890460235,7
titus,lartius,3.3779001760379668,7
lartius,titus,3.3779001760379668,7
stol,n,3.356710876968029,5
n,stol,3.356710876968029,5
sheep,shearing,3.2598008639599723,5
shearing,sheep,3.2598008639599723,5
thumb,bite,3.1384964120067664,6
bite,thumb,3.1384964120067664,6
bishop,carlisle,3.0045283588566667,7
carlisle,bishop,3.0045283588566667,7
earl,wiltshire,2.9887340916734346,7
wiltshire,earl,2.9887340916734346,7
en,ta,2.944530429181381,24
ta,en,2.944530429181381,24
drums,trumpets,2.8795896222483663,5
trumpets,drums,2.8795896222483663,5
green,bushy,2.870044304342136,5
bushy,green,2.870044304342136,5
lewis,xi,2.8338321316876915,21
xi,lewis,2.8338321316876915,21
bishop,ely,2.8126428326177533,6
ely,bishop,2.8126428326177533,6
saint,alban,2.792439446529466,5
alban,saint,2.792439446529466,5
widow,dido,2.7546508856400664,5
dido,widow,2.7546508856400664,5
thomas,mowbray,2.69989423892386,20
mowbray,thomas,2.69989423892386,20
grey,vaughan,2.578559626584385,5
vaughan,grey,2.578559626584385,5
paris,county,2.5633196600276484,7
county,paris,2.5633196600276484,7
caius,marcius,2.5230724591208227,16
marcius,caius,2.5230724591208227,16
signior,gremio,2.52132231834028,14
gremio,signior,2.52132231834028,14
john,gaunt,2.5188193008563307,34
gaunt,john,2.5188193008563307,34
sound,trumpet,2.481649613576329,5
trumpet,sound,2.481649613576329,5
hereford,harry,2.465080512143136,6
harry,hereford,2.465080512143136,6
sound,trumpets,2.4639208466158973,8
trumpets,sound,2.4639208466158973,8
mistress,overdone,2.438197436796186,17
overdone,mistress,2.438197436796186,17
silver,sound,2.4358921230156536,7
sound,silver,2.4358921230156536,7
fellow,tall,2.4301397941265623,6
tall,fellow,2.4301397941265623,6
place,market,2.4122282048178603,10
market,place,2.4122282048178603,10
rivers,grey,2.3490240483017377,7
grey,rivers,2.3490240483017377,7
signior,baptista,2.3159168059389037,11
baptista,signior,2.3159168059389037,11
twenty,crowns,2.3074928542978475,5
crowns,twenty,2.3074928542978475,5
friar,laurence,2.289657131424573,58
laurence,friar,2.289657131424573,58
george,saint,2.2842839580698353,9
saint,george,2.2842839580698353,9
norfolk,thomas,2.2805560855505917,9
thomas,norfolk,2.2805560855505917,9
ne,er,2.2455604248453622,58
er,ne,2.2455604248453622,58
er,whate,2.2455604248453622,8
whate,er,2.2455604248453622,8
master,froth,2.2381522369975047,9
froth,master,2.2381522369975047,9
er,e,2.2145261911053935,27
e,er,2.2145261911053935,27
ten,times,2.2033195080075245,12
times,ten,2.2033195080075245,12
cell,laurence,2.1963424021751807,5
laurence,cell,2.1963424021751807,5
wind,blows,2.16872039461264,5
blows,wind,2.16872039461264,5
daughter,youngest,2.117828788052892,5
youngest,daughter,2.117828788052892,5
shed,tears,2.115122894676967,10
tears,shed,2.115122894676967,10
third,servingman,2.1079204993926433,20
servingman,third,2.1079204993926433,20
norfolk,mowbray,2.104464826494911,6
mowbray,norfolk,2.104464826494911,6
thousand,crowns,2.0966394889829543,5
crowns,thousand,2.0966394889829543,5
signior,hortensio,2.0837096049042914,6
hortensio,signior,2.0837096049042914,6
ye,re,2.0648242607439173,5
re,ye,2.0648242607439173,5
york,duchess,2.0564716905882543,71
duchess,york,2.0564716905882543,71
belly,answer,2.03449158223411,5
answer,belly,2.03449158223411,5
york,archbishop,2.0015894123590217,6
archbishop,york,2.0015894123590217,6
lady,anne,1.9975323659841364,52
anne,lady,1.9975323659841364,52
sound,music,1.9734941251166978,5
music,sound,1.9734941251166978,5
