w1,w2,rel_freq,count
pleas,d,1.0,69
fac,d,1.0,44
deceiv,d,1.0,41
assur,d,1.0,37
dramatis,personae,1.0,36
chang,d,1.0,34
reveng,d,1.0,34
resolv,d,1.0,33
belov,d,1.0,31
prepar,d,1.0,30
abus,d,1.0,29
advis,d,1.0,29
amaz,d,1.0,29
cam,st,1.0,29
rul,d,1.0,28
forc,d,1.0,27
prov,d,1.0,27
asham,d,1.0,26
begg,d,1.0,26
charg,d,1.0,26
prais,d,1.0,26
urg,d,1.0,26
whate,er,1.0,26
stopp,d,1.0,25
rais,d,1.0,24
perjur,d,1.0,23
mak,st,1.0,22
accus,d,1.0,21
com,st,1.0,21
dispos,d,1.0,21
depos,d,1.0,19
sav,d,1.0,19
surpris,d,1.0,19
arriv,d,1.0,18
nam,d,1.0,17
oppos,d,1.0,17
plac,d,1.0,17
whipp,d,1.0,17
beguil,d,1.0,16
clapp,d,1.0,16
compell,d,1.0,16
confin,d,1.0,16
determin,d,1.0,16
devis,d,1.0,16
disguis,d,1.0,16
suppos,d,1.0,16
awak,d,1.0,15
enforc,d,1.0,15
purpos,d,1.0,15
seiz,d,1.0,15
