w1,w2,pmi,count
l,envoy,4.559554086766483,16
milford,haven,4.53682927231296,11
dramatis,personae,4.345674266821402,36
boist,rous,4.31091216056219,10
desp,rate,4.269519475403965,10
willow,willow,4.248764253813346,10
hugh,evans,4.228560867725059,14
don,pedro,4.227574954743408,20
le,beau,4.146101911916198,22
wat,ry,4.091640833833645,13
threat,ning,3.9651083542187875,17
la,pucelle,3.9457282754517657,24
thomas,lovell,3.9100127231852313,12
murd,rous,3.889906847821459,11
william,shakespeare,3.84889832410527,38
saint,albans,3.830094760282564,19
alexandria,cleopatra,3.7698918092939198,11
ta,en,3.733076284053532,95
alarum,excursions,3.7201331796439168,10
pow,rs,3.698422641015296,24
stol,n,3.6932804045267384,59
pow,r,3.643789523478166,33
flow,rs,3.6010674260390845,18
friar,laurence,3.5999827438220913,18
thomas,mowbray,3.5781061610481806,10
charmian,iras,3.577282853726915,10
jack,cade,3.5726571324368313,13
count,rousillon,3.5625253262822487,10
ev,n,3.5321752128788475,19
trumpet,sounds,3.5315694293711277,14
county,paris,3.5185204710639364,10
titus,lartius,3.5163704939903773,16
iii,scene,3.477243582328715,44
v,scene,3.469970080319091,50
iv,scene,3.4676982644224847,44
signior,gremio,3.4468054930725898,14
speed,item,3.4341511122925956,17
ii,scene,3.429011472640185,42
saint,george,3.3987309961235765,20
ling,ring,3.3814932348478974,12
encount,red,3.3777970892879337,15
act,sc,3.3730600673110347,32
chamber,window,3.3536431964926776,11
chief,justice,3.3512449680297016,68
ent,red,3.3467245562859,23
mrs,overdone,3.328640927522622,15
fourth,citizen,3.324484967751464,19
rememb,red,3.298615843240309,25
signior,benedick,3.2891340673647784,18
alack,alack,3.2715488925636658,10
mrs,ford,3.2593144361466537,90
wand,ring,3.240164082051428,14
fie,fie,3.2384367132882375,41
robert,shallow,3.237334792032564,10
doctor,caius,3.234308337402376,13
music,plays,3.2064950910984917,10
e,en,3.2061449947619973,35
signior,baptista,3.188486224494747,11
trumpets,sound,3.1684264305657788,25
afar,off,3.167035818751841,17
julius,caesar,3.14447228718269,14
scene,vii,3.1230642646316893,19
caius,marcius,3.1162723793145997,19
mrs,page,3.1066389605887816,109
whate,er,3.106096750244614,26
howe,er,3.106096750244614,12
whoe,er,3.106096750244614,10
harry,percy,3.100801814217078,12
scene,vi,3.0979160094147034,26
ne,er,3.0943052255150563,218
thousand,ducats,3.0939549532010933,25
act,v,3.0894041677164763,51
re,enter,3.0874850937777043,251
market,place,3.05978371821784,18
murd,red,3.048937999759195,12
knocking,within,3.047813668101712,17
excursions,enter,3.0414391312822096,15
scene,ii,3.0057662341129228,124
five,hundred,3.004802639368934,17
white,rose,3.002375108442567,10
queen,elizabeth,2.9789456542962753,112
scene,iii,2.9751987328003615,98
ten,times,2.965463025109796,34
fall,n,2.959472661420609,53
tongue,tied,2.957124115735409,12
camp,near,2.956930442560046,14
act,iv,2.9434872107699284,45
ha,ha,2.9402845360188796,42
exeunt,severally,2.93724584653506,12
anon,anon,2.930051818404498,10
e,er,2.9281768801425248,79
scene,iv,2.8950642017326276,68
thousand,crowns,2.894279182535928,17
humbly,thank,2.893376595826772,17
seven,years,2.8861980111996486,12
master,fenton,2.884386997103089,15
third,citizen,2.8814083327873266,38
thousand,pound,2.8805393711216,15
cam,st,2.874627159813933,29
mak,st,2.874627159813933,22
